session_id,source_sheet,volume_m,normalized_blocks,normalization_method,status
RKF-10-12-58,Treinos_10_12,4000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-59,Treinos_10_12,3800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-60,Treinos_10_12,4000,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-61,Treinos_10_12,3200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-62,Treinos_10_12,3200,7,residual_fill,EXACT_910_READY
RKF-10-12-63,Treinos_10_12,3400,8,residual_fill,EXACT_910_READY
RKF-10-12-64,Treinos_10_12,3400,5,residual_fill,EXACT_910_READY
RKF-10-12-65,Treinos_10_12,3600,7,residual_fill,EXACT_910_READY
RKF-10-12-66,Treinos_10_12,3200,6,residual_fill,EXACT_910_READY
RKF-10-12-67,Treinos_10_12,3400,5,residual_fill,EXACT_910_READY
RKF-10-12-68,Treinos_10_12,3600,7,residual_fill,EXACT_910_READY
RKF-10-12-69,Treinos_10_12,3400,6,residual_fill,EXACT_910_READY
RKF-10-12-70,Treinos_10_12,3400,7,residual_fill,EXACT_910_READY
RKF-10-12-71,Treinos_10_12,3200,7,residual_fill,EXACT_910_READY
RKF-10-12-72,Treinos_10_12,4000,5,residual_fill,EXACT_910_READY
RKF-10-12-73,Treinos_10_12,3600,4,residual_fill,EXACT_910_READY
RKF-10-12-74,Treinos_10_12,3400,7,residual_fill,EXACT_910_READY
RKF-10-12-75,Treinos_10_12,3600,4,residual_fill,EXACT_910_READY
RKF-10-12-76,Treinos_10_12,3400,6,residual_fill,EXACT_910_READY
RKF-10-12-77,Treinos_10_12,3800,6,residual_fill,EXACT_910_READY
RKF-10-12-78,Treinos_10_12,3200,7,residual_fill,EXACT_910_READY
RKF-10-12-79,Treinos_10_12,3600,4,residual_fill,EXACT_910_READY
RKF-10-12-80,Treinos_10_12,4000,9,residual_fill,EXACT_910_READY
RKF-13-14-01,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-02,Treinos_13_14,5200,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-03,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-04,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-05,Treinos_13_14,5400,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-06,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-07,Treinos_13_14,5200,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-08,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-09,Treinos_13_14,5400,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-10,Treinos_13_14,5200,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-11,Treinos_13_14,5400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-12,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-13,Treinos_13_14,5400,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-14,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-15,Treinos_13_14,4900,3,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-16,Treinos_13_14,5200,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-17,Treinos_13_14,5400,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-18,Treinos_13_14,5000,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-19,Treinos_13_14,5200,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-20,Treinos_13_14,5400,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-21,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-22,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-23,Treinos_13_14,5000,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-24,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-25,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-26,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-27,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-28,Treinos_13_14,4800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-29,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-30,Treinos_13_14,4800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-31,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-32,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-33,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-34,Treinos_13_14,4400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-35,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-36,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-37,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-38,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-39,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-40,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-41,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-42,Treinos_13_14,4800,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-43,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-44,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-45,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-46,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-47,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-48,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-49,Treinos_13_14,5000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-50,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-51,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-52,Treinos_13_14,4500,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-53,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-54,Treinos_13_14,4600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-55,Treinos_13_14,4800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-56,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-57,Treinos_13_14,4600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-58,Treinos_13_14,4400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-59,Treinos_13_14,4500,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-60,Treinos_13_14,4800,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-61,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-62,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-63,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-64,Treinos_13_14,4200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-65,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-66,Treinos_13_14,4300,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-67,Treinos_13_14,4300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-68,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-69,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-70,Treinos_13_14,4400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-71,Treinos_13_14,4300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-72,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-73,Treinos_13_14,4200,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-74,Treinos_13_14,4500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-75,Treinos_13_14,4300,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-13-14-76,Treinos_13_14,4400,6,already_exact_or_explicit_zero,EXACT_910_READY
